day,temp,humidity,time
3,11,75,4/7/2021 19:52:57
3,11,75,4/7/2021 19:54:57
3,11,76,4/7/2021 19:56:57
3,11,75,4/7/2021 19:58:59
3,11,75,4/7/2021 20:00:58
3,11,75,4/7/2021 20:02:58
3,11,76,4/7/2021 20:04:58
3,11,76,4/7/2021 20:06:59
3,11,76,4/7/2021 20:08:59
3,11,76,4/7/2021 20:10:59
3,11,77,4/7/2021 20:12:59
3,11,76,4/7/2021 20:15:00
3,11,75,4/7/2021 20:17:00
3,11,76,4/7/2021 20:19:01
3,11,76,4/7/2021 20:21:01
3,11,77,4/7/2021 20:23:01
3,11,77,4/7/2021 20:25:01
3,11,77,4/7/2021 20:27:01
3,11,77,4/7/2021 20:29:02
3,11,76,4/7/2021 20:31:02
3,11,77,4/7/2021 20:33:02
3,11,77,4/7/2021 20:35:07
3,11,77,4/7/2021 20:37:03
3,11,77,4/7/2021 20:39:03
3,11,77,4/7/2021 20:41:03
3,11,77,4/7/2021 20:43:04
3,11,78,4/7/2021 20:45:04
3,11,77,4/7/2021 20:47:04
3,11,77,4/7/2021 20:49:05
3,11,76,4/7/2021 20:51:05
3,11,77,4/7/2021 20:53:05
3,11,76,4/7/2021 20:55:05
3,12,76,4/7/2021 20:57:06
3,12,76,4/7/2021 20:59:06
4,13,70,4/8/2021 19:01:20
4,13,69,4/8/2021 19:03:20
4,13,71,4/8/2021 19:05:21
4,13,71,4/8/2021 19:07:21
4,12,72,4/8/2021 19:09:21
4,12,74,4/8/2021 19:11:22
4,12,76,4/8/2021 19:13:22
4,12,75,4/8/2021 19:15:22
4,12,76,4/8/2021 19:17:22
4,12,79,4/8/2021 19:19:23
4,12,75,4/8/2021 19:21:23
4,12,77,4/8/2021 19:23:23
4,12,77,4/8/2021 19:25:23
4,12,76,4/8/2021 19:27:24
4,12,80,4/8/2021 19:29:24
4,12,78,4/8/2021 19:31:24
4,11,78,4/8/2021 19:33:25
4,11,78,4/8/2021 19:35:25
4,11,79,4/8/2021 19:37:25
4,11,79,4/8/2021 19:39:25
4,11,79,4/8/2021 19:41:26
4,11,79,4/8/2021 19:43:26
4,11,80,4/8/2021 19:45:26
4,11,79,4/8/2021 19:47:27
4,11,78,4/8/2021 19:49:27
4,11,80,4/8/2021 19:51:27
4,12,78,4/8/2021 19:53:27
4,12,77,4/8/2021 19:55:28
4,12,77,4/8/2021 19:57:28
4,12,76,4/8/2021 19:59:28
4,12,76,4/8/2021 20:01:29
4,11,78,4/8/2021 20:03:29
4,11,79,4/8/2021 20:05:29
4,11,80,4/8/2021 20:07:30
4,11,80,4/8/2021 20:09:30
4,11,80,4/8/2021 20:11:30
4,11,81,4/8/2021 20:13:30
4,12,78,4/8/2021 20:15:31
4,12,74,4/8/2021 20:17:31
4,11,76,4/8/2021 20:19:31
4,11,78,4/8/2021 20:21:31
4,11,79,4/8/2021 20:23:32
4,11,80,4/8/2021 20:25:32
4,11,81,4/8/2021 20:27:32
4,11,81,4/8/2021 20:29:32
4,11,81,4/8/2021 20:31:33
4,11,79,4/8/2021 20:33:33
4,12,77,4/8/2021 20:35:33
4,11,80,4/8/2021 20:37:34
4,11,81,4/8/2021 20:39:34
4,11,81,4/8/2021 20:41:34
4,11,81,4/8/2021 20:43:34
4,11,82,4/8/2021 20:45:35
4,11,82,4/8/2021 20:47:35
4,10,82,4/8/2021 20:49:35
4,10,83,4/8/2021 20:51:36
4,10,82,4/8/2021 20:53:36
4,11,82,4/8/2021 20:55:36
4,11,79,4/8/2021 20:57:36
4,11,81,4/8/2021 20:59:37
5,14,59,4/9/2021 19:01:45
5,14,59,4/9/2021 19:03:45
5,13,59,4/9/2021 19:05:45
5,13,59,4/9/2021 19:07:46
5,13,60,4/9/2021 19:09:46
5,13,60,4/9/2021 19:11:46
5,13,61,4/9/2021 19:13:46
5,13,61,4/9/2021 19:15:47
5,13,62,4/9/2021 19:17:47
5,13,62,4/9/2021 19:19:47
5,13,63,4/9/2021 19:21:48
5,13,64,4/9/2021 19:23:48
5,13,63,4/9/2021 19:25:48
5,13,64,4/9/2021 19:27:49
5,13,65,4/9/2021 19:29:49
5,13,65,4/9/2021 19:31:51
5,13,65,4/9/2021 19:33:49
5,13,65,4/9/2021 19:35:50
5,13,65,4/9/2021 19:37:50
5,13,65,4/9/2021 19:39:50
5,12,65,4/9/2021 19:41:50
5,12,65,4/9/2021 19:43:51
5,12,66,4/9/2021 19:45:51
5,12,67,4/9/2021 19:47:51
5,12,66,4/9/2021 19:49:51
5,12,67,4/9/2021 19:51:52
